dwaCode	title	action	object	iwaCode	workActivityCode
4.A.3.a.3.I12.D01	Operate grinding equipment.	Operate	Grinding Equipment	4.A.3.a.3.I12	4.A.3.a.3
4.A.3.a.3.I12.D02	Operate cutting equipment.	Operate	Cutting Equipment	4.A.3.a.3.I12	4.A.3.a.3
4.A.3.a.3.I12.D03	Operate woodworking equipment.	Operate	Woodworking Equipment	4.A.3.a.3.I12	4.A.3.a.3
4.A.3.a.3.I12.D04	Operate textile cutting or production equipment.	Operate	Textile Cutting Production Equipment	4.A.3.a.3.I12	4.A.3.a.3
4.A.3.a.4.I01.D01	Operate ships or other watercraft.	Operate	Ships Watercraft	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D02	Navigate water vessels.	Navigate	Water Vessels	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D03	Drive vehicles to transport individuals or equipment.	Drive	Vehicles Transport Individuals Equipment	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D04	Follow safety procedures for vehicle operation.	Follow	Safety Procedures Vehicle Operation	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D05	Travel to work sites to perform installation, repair or maintenance work.	Travel	Work Sites Perform Installation	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D06	Operate vehicles or material-moving equipment.	Operate	Vehicles Material-moving Equipment	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D07	Operate transportation equipment to demonstrate function or malfunction.	Operate	Transportation Equipment Demonstrate Function	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D08	Control equipment that regulates vehicle traffic.	Control	Equipment Regulates Vehicle Traffic	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D09	Drive vehicles to transport patrons.	Drive	Vehicles Transport Patrons	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D10	Drive trucks or truck-mounted equipment.	Drive	Trucks Truck-mounted Equipment	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D11	Pilot aircraft.	Pilot	Aircraft	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D12	Drive trucks or other vehicles to or at work sites.	Drive	Trucks Vehicles Work Sites	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D13	Operate locomotives or other rail vehicles.	Operate	Locomotives Rail Vehicles	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.a.4.I01.D14	Drive passenger vehicles.	Drive	Passenger Vehicles	4.A.3.a.4.I01	4.A.3.a.4
4.A.3.b.1.I01.D01	Enter commands, instructions, or specifications into equipment.	Enter	Commands Instructions Specifications Into	4.A.3.b.1.I01	4.A.3.b.1
4.A.3.b.1.I01.D02	Program equipment to perform production tasks.	Program	Equipment Perform Production Tasks	4.A.3.b.1.I01	4.A.3.b.1
4.A.3.b.1.I01.D03	Write computer programming code.	Write	Computer Programming Code	4.A.3.b.1.I01	4.A.3.b.1
4.A.3.b.1.I01.D04	Program robotic equipment.	Program	Robotic Equipment	4.A.3.b.1.I01	4.A.3.b.1
4.A.3.b.1.I02.D01	Implement security measures for computer or information systems.	Implement	Security Measures Computer Information	4.A.3.b.1.I02	4.A.3.b.1
4.A.3.b.1.I02.D02	Create electronic data backup to prevent loss of information.	Create	Electronic Data Backup Prevent	4.A.3.b.1.I02	4.A.3.b.1
4.A.3.b.1.I03.D01	Install computer software.	Install	Computer Software	4.A.3.b.1.I03	4.A.3.b.1
4.A.3.b.1.I03.D02	Install computer hardware.	Install	Computer Hardware	4.A.3.b.1.I03	4.A.3.b.1
4.A.3.b.1.I03.D03	Install programs onto computer or computer-controlled equipment.	Install	Programs Onto Computer Computer-controlled	4.A.3.b.1.I03	4.A.3.b.1
4.A.3.b.1.I03.D04	Configure computer networks.	Configure	Computer Networks	4.A.3.b.1.I03	4.A.3.b.1
4.A.3.b.1.I04.D01	Resolve computer network problems.	Resolve	Computer Network Problems	4.A.3.b.1.I04	4.A.3.b.1
4.A.3.b.1.I04.D02	Troubleshoot issues with computer applications or systems.	Troubleshoot	Issues Computer Applications Systems	4.A.3.b.1.I04	4.A.3.b.1
4.A.3.b.1.I04.D03	Resolve computer software problems.	Resolve	Computer Software Problems	4.A.3.b.1.I04	4.A.3.b.1
4.A.3.b.1.I05.D01	Operate computers or computerized equipment.	Operate	Computers Computerized Equipment	4.A.3.b.1.I05	4.A.3.b.1
4.A.3.b.1.I05.D02	Operate computer systems.	Operate	Computer Systems	4.A.3.b.1.I05	4.A.3.b.1
4.A.3.b.1.I06.D01	Load digital images onto computers or websites.	Load	Digital Images Onto Computers	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D02	Operate digital imaging equipment.	Operate	Digital Imaging Equipment	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D03	Enter patient or treatment data into computers.	Enter	Patient Treatment Data Into	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D04	Update website content.	Update	Website Content	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D05	Update computer database information.	Update	Computer Database Information	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D06	Enter information into databases or software programs.	Enter	Information Into Databases Software	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D07	Prepare data for analysis.	Prepare	Data Analysis	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D08	Code data or other information.	Code	Data Information	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D09	Download data.	Download	Data	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D10	Enter codes or other information into computers.	Enter	Codes Information Into Computers	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D11	Convert data among multiple digital or analog formats.	Convert	Data Among Multiple Digital	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.1.I06.D12	Format digital documents, data, or images.	Format	Digital Documents Data Images	4.A.3.b.1.I06	4.A.3.b.1
4.A.3.b.4.I01.D01	Maintain facilities.	Maintain	Facilities	4.A.3.b.4.I01	4.A.3.b.4
4.A.3.b.4.I01.D02	Perform basic equipment maintenance.	Perform	Basic Equipment Maintenance	4.A.3.b.4.I01	4.A.3.b.4
4.A.3.b.4.I01.D03	Maintain plumbing structures or fixtures.	Maintain	Plumbing Structures Fixtures	4.A.3.b.4.I01	4.A.3.b.4
4.A.3.b.4.I01.D04	Repair structural components.	Repair	Structural Components	4.A.3.b.4.I01	4.A.3.b.4
4.A.3.b.4.I01.D05	Repair pipes to stop leaking.	Repair	Pipes Stop Leaking	4.A.3.b.4.I01	4.A.3.b.4
4.A.3.b.4.I01.D06	Service heating, ventilation or air-conditioning (HVAC) systems or components.	Service	Heating Ventilation Air-conditioning (hvac)	4.A.3.b.4.I01	4.A.3.b.4
4.A.3.b.4.I02.D01	Maintain mechanical equipment.	Maintain	Mechanical Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D02	Maintain production or processing equipment.	Maintain	Production Processing Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D03	Maintain equipment or systems to ensure proper functioning.	Maintain	Equipment Systems Ensure Proper	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D04	Maintain office equipment in proper operating condition.	Maintain	Office Equipment Proper Operating	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D05	Maintain sustainable energy production equipment.	Maintain	Sustainable Energy Production Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D06	Maintain forestry, hunting, or agricultural equipment.	Maintain	Forestry Hunting Agricultural Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D07	Lubricate equipment to allow proper functioning.	Lubricate	Equipment Allow Proper Functioning	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D08	Maintain drilling equipment.	Maintain	Drilling Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D09	Clear equipment jams.	Clear	Equipment Jams	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D10	Maintain extraction or excavation equipment.	Maintain	Extraction Excavation Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D11	Maintain green energy production plant equipment.	Maintain	Green Energy Production Plant	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D12	Apply lubricants or coolants to workpieces.	Apply	Lubricants Coolants Workpieces	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D13	Perform manual service or maintenance tasks.	Perform	Manual Service Maintenance Tasks	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D14	Maintain construction tools or equipment.	Maintain	Construction Tools Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D15	Maintain fire fighting tools or equipment.	Maintain	Fire Fighting Tools Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D16	Maintain work equipment or machinery.	Maintain	Work Equipment Machinery	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D17	Lubricate production equipment.	Lubricate	Production Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D18	Maintain electromechanical equipment.	Maintain	Electromechanical Equipment	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I02.D19	Sharpen cutting or grinding tools.	Sharpen	Cutting Grinding Tools	4.A.3.b.4.I02	4.A.3.b.4
4.A.3.b.4.I03.D01	Repair electrical circuits or wiring.	Repair	Electrical Circuits Wiring	4.A.3.b.4.I03	4.A.3.b.4
4.A.3.b.4.I03.D02	Repair electrical equipment.	Repair	Electrical Equipment	4.A.3.b.4.I03	4.A.3.b.4
4.A.3.b.4.I03.D03	Repair electronic equipment.	Repair	Electronic Equipment	4.A.3.b.4.I03	4.A.3.b.4
4.A.3.b.4.I03.D04	Repair electrical components.	Repair	Electrical Components	4.A.3.b.4.I03	4.A.3.b.4
4.A.3.b.4.I04.D01	Maintain computer hardware.	Maintain	Computer Hardware	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I04.D02	Maintain computer networks to enhance performance and user access.	Maintain	Computer Networks Enhance Performance	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I04.D03	Maintain recording or broadcasting equipment.	Maintain	Recording Broadcasting Equipment	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I04.D04	Maintain electronic equipment.	Maintain	Electronic Equipment	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I04.D05	Maintain laboratory or technical equipment.	Maintain	Laboratory Technical Equipment	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I04.D06	Maintain computer equipment or software.	Maintain	Computer Equipment Software	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I04.D07	Maintain test equipment.	Maintain	Test Equipment	4.A.3.b.4.I04	4.A.3.b.4
4.A.3.b.4.I05.D01	Repair furniture or upholstery.	Repair	Furniture Upholstery	4.A.3.b.4.I05	4.A.3.b.4
4.A.3.b.4.I05.D02	Repair templates, patterns, or molds.	Repair	Templates Patterns Molds	4.A.3.b.4.I05	4.A.3.b.4
4.A.3.b.4.I05.D03	Repair precision devices or workpieces.	Repair	Precision Devices Workpieces	4.A.3.b.4.I05	4.A.3.b.4
4.A.3.b.4.I05.D04	Repair parts or assemblies.	Repair	Parts Assemblies	4.A.3.b.4.I05	4.A.3.b.4
4.A.3.b.4.I05.D05	Repair books or other printed material.	Repair	Books Printed Material	4.A.3.b.4.I05	4.A.3.b.4
4.A.3.b.4.I06.D01	Replace worn equipment components.	Replace	Worn Equipment Components	4.A.3.b.4.I06	4.A.3.b.4
4.A.3.b.4.I06.D02	Repair green energy equipment or systems.	Repair	Green Energy Equipment Systems	4.A.3.b.4.I06	4.A.3.b.4
4.A.3.b.4.I06.D03	Replace worn, damaged, or defective mechanical parts.	Replace	Worn Damaged Defective Mechanical	4.A.3.b.4.I06	4.A.3.b.4
4.A.3.b.4.I06.D04	Repair production equipment or tools.	Repair	Production Equipment Tools	4.A.3.b.4.I06	4.A.3.b.4
4.A.3.b.4.I06.D05	Repair worn, damaged, or defective mechanical parts.	Repair	Worn Damaged Defective Mechanical	4.A.3.b.4.I06	4.A.3.b.4
4.A.3.b.4.I06.D06	Repair mechanical equipment.	Repair	Mechanical Equipment	4.A.3.b.4.I06	4.A.3.b.4
4.A.3.b.4.I07.D01	Repair defective engines or engine components.	Repair	Defective Engines Engine Components	4.A.3.b.4.I07	4.A.3.b.4
4.A.3.b.4.I07.D02	Replace vehicle glass.	Replace	Vehicle Glass	4.A.3.b.4.I07	4.A.3.b.4
4.A.3.b.4.I07.D03	Repair tires.	Repair	Tires	4.A.3.b.4.I07	4.A.3.b.4
4.A.3.b.4.I07.D04	Repair non-engine automotive or vehicle components.	Repair	Non-engine Automotive Vehicle Components	4.A.3.b.4.I07	4.A.3.b.4
4.A.3.b.4.I07.D05	Rebuild parts or components.	Rebuild	Parts Components	4.A.3.b.4.I07	4.A.3.b.4
4.A.3.b.4.I08.D01	Service green vehicles to make repairs or maintain good working order.	Service	Green Vehicles Make Repairs	4.A.3.b.4.I08	4.A.3.b.4
4.A.3.b.4.I08.D02	Maintain vehicles in good working condition.	Maintain	Vehicles Good Working Condition	4.A.3.b.4.I08	4.A.3.b.4
4.A.3.b.4.I08.D03	Maintain watercraft engines or machinery.	Maintain	Watercraft Engines Machinery	4.A.3.b.4.I08	4.A.3.b.4
4.A.3.b.4.I08.D04	Maintain locomotives or other rail equipment in good working condition.	Maintain	Locomotives Rail Equipment Good	4.A.3.b.4.I08	4.A.3.b.4
4.A.3.b.4.I08.D05	Service vehicles to maintain functionality.	Service	Vehicles Maintain Functionality	4.A.3.b.4.I08	4.A.3.b.4
4.A.3.b.4.I08.D06	Maintain material moving equipment in good working condition.	Maintain	Material Moving Equipment Good	4.A.3.b.4.I08	4.A.3.b.4
4.A.3.b.4.I09.D01	Maintain medical equipment or instruments.	Maintain	Medical Equipment Instruments	4.A.3.b.4.I09	4.A.3.b.4
4.A.3.b.4.I09.D02	Maintain medical laboratory equipment.	Maintain	Medical Laboratory Equipment	4.A.3.b.4.I09	4.A.3.b.4
4.A.3.b.4.I09.D03	Repair medical or dental assistive devices.	Repair	Medical Dental Assistive Devices	4.A.3.b.4.I09	4.A.3.b.4
4.A.3.b.4.I09.D04	Repair medical facility equipment.	Repair	Medical Facility Equipment	4.A.3.b.4.I09	4.A.3.b.4
4.A.3.b.6.I01.D01	Prepare financial documents.	Prepare	Financial Documents	4.A.3.b.6.I01	4.A.3.b.6
4.A.3.b.6.I01.D02	Prepare financial documents, reports, or budgets.	Prepare	Financial Documents Reports Budgets	4.A.3.b.6.I01	4.A.3.b.6
4.A.3.b.6.I02.D01	Prepare written decisions for legal proceedings.	Prepare	Written Decisions Legal Proceedings	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D02	Prepare documentation of legal proceedings.	Prepare	Documentation Legal Proceedings	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D03	Record information about legal matters.	Record	Information About Legal Matters	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D04	Record information about suspects or criminals.	Record	Information About Suspects Criminals	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D05	Record information from legal proceedings.	Record	Information Legal Proceedings	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D06	Prepare investigation or incident reports.	Prepare	Investigation Incident Reports	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D07	Document information related to legal proceedings.	Document	Information Related Legal Proceedings	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I02.D08	Record information about suspicious objects.	Record	Information About Suspicious Objects	4.A.3.b.6.I02	4.A.3.b.6
4.A.3.b.6.I03.D01	Present research results to others.	Present	Research Results Others	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D02	Prepare research or technical reports.	Prepare	Research Technical Reports	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D03	Prepare research reports.	Prepare	Research Reports	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D04	Prepare scientific or technical reports or presentations.	Prepare	Scientific Technical Reports Presentations	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D05	Prepare analytical reports.	Prepare	Analytical Reports	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D06	Write reports or evaluations.	Write	Reports Evaluations	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D07	Prepare research or technical reports on environmental issues.	Prepare	Research Technical Reports Environmental	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D08	Prepare technical or operational reports.	Prepare	Technical Operational Reports	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D09	Prepare technical reports for internal use.	Prepare	Technical Reports Internal Use	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I03.D10	Present medical research reports.	Present	Medical Research Reports	4.A.3.b.6.I03	4.A.3.b.6
4.A.3.b.6.I04.D01	Record information about environmental conditions.	Record	Information About Environmental Conditions	4.A.3.b.6.I04	4.A.3.b.6
4.A.3.b.6.I05.D01	Record images needed to address work issues.	Record	Images Needed Address Work	4.A.3.b.6.I05	4.A.3.b.6
4.A.3.b.6.I05.D02	Record crime or accident scene evidence with video or still cameras.	Record	Crime Accident Scene Evidence	4.A.3.b.6.I05	4.A.3.b.6
4.A.3.b.6.I05.D03	Document events or evidence, using photographic or audiovisual equipment.	Document	Events Evidence Using Photographic	4.A.3.b.6.I05	4.A.3.b.6
4.A.3.b.6.I06.D01	Prepare official health documents or records.	Prepare	Official Health Documents Records	4.A.3.b.6.I06	4.A.3.b.6
4.A.3.b.6.I06.D02	Document client health or progress.	Document	Client Health Progress	4.A.3.b.6.I06	4.A.3.b.6
4.A.3.b.6.I06.D03	Prepare medical reports or documents.	Prepare	Medical Reports Documents	4.A.3.b.6.I06	4.A.3.b.6
4.A.3.b.6.I06.D04	Prepare reports summarizing patient diagnostic or care activities.	Prepare	Reports Summarizing Patient Diagnostic	4.A.3.b.6.I06	4.A.3.b.6
4.A.3.b.6.I07.D01	Develop proposals for current or prospective customers.	Develop	Proposals Current Prospective Customers	4.A.3.b.6.I07	4.A.3.b.6
4.A.3.b.6.I07.D02	Write grant proposals.	Write	Grant Proposals	4.A.3.b.6.I07	4.A.3.b.6
4.A.3.b.6.I07.D03	Prepare proposal documents.	Prepare	Proposal Documents	4.A.3.b.6.I07	4.A.3.b.6
4.A.3.b.6.I07.D04	Prepare proposals or grant applications to obtain project funding.	Prepare	Proposals Grant Applications Obtain	4.A.3.b.6.I07	4.A.3.b.6
4.A.3.b.6.I07.D05	Prepare proposal documents or grant applications.	Prepare	Proposal Documents Grant Applications	4.A.3.b.6.I07	4.A.3.b.6
4.A.3.b.6.I08.D01	Record details of deliveries or shipments.	Record	Details Deliveries Shipments	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D02	Document operational procedures.	Document	Operational Procedures	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D03	Record operational or production data.	Record	Operational Production Data	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D04	Maintain operational records for green energy processes or other environmentally-sustainable activities.	Maintain	Operational Records Green Energy	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D05	Maintain operational records.	Maintain	Operational Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D06	Maintain client information or service records.	Maintain	Client Information Service Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D07	Maintain inventory records.	Maintain	Inventory Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D08	Record agricultural or forestry inventory data.	Record	Agricultural Forestry Inventory Data	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D09	Maintain records, documents, or other files.	Maintain	Records Documents Files	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D10	Maintain personnel records.	Maintain	Personnel Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D11	Document operational activities.	Document	Operational Activities	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D12	Maintain student records.	Maintain	Student Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D13	Record information about parts, materials or repair procedures.	Record	Information About Parts Materials	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D14	Maintain data in information systems or databases.	Maintain	Data Information Systems Databases	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D15	Maintain records of customer accounts.	Maintain	Records Customer Accounts	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D16	Transcribe spoken or written information.	Transcribe	Spoken Written Information	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D17	Document work hours or activities.	Document	Work Hours Activities	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D18	Record research or operational data.	Record	Research Operational Data	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D19	Record operational details of travel.	Record	Operational Details Travel	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D20	Record shipping information.	Record	Shipping Information	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D21	Maintain operational records or records systems.	Maintain	Operational Records Records Systems	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D22	Record service or repair activities.	Record	Service Repair Activities	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D23	Maintain social services program records.	Maintain	Social Services Program Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D24	Maintain repair or maintenance records.	Maintain	Repair Maintenance Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D25	Maintain call records.	Maintain	Call Records	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D26	Record personnel information.	Record	Personnel Information	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D27	Record operational or environmental data.	Record	Operational Environmental Data	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D28	Maintain logs of production activities.	Maintain	Logs Production Activities	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D29	Record information from meetings or other formal proceedings.	Record	Information Meetings Formal Proceedings	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D30	Document organizational or operational procedures.	Document	Organizational Operational Procedures	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I08.D31	Record production information.	Record	Production Information	4.A.3.b.6.I08	4.A.3.b.6
4.A.3.b.6.I09.D01	Prepare procedural documents.	Prepare	Procedural Documents	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I09.D02	Document technical design details.	Document	Technical Design Details	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I09.D03	Document network-related activities or tasks.	Document	Network-related Activities Tasks	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I09.D04	Document technical specifications or requirements.	Document	Technical Specifications Requirements	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I09.D05	Document design or development procedures.	Document	Design Development Procedures	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I09.D06	Document test results.	Document	Test Results	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I09.D07	Document design or operational test results.	Document	Design Operational Test Results	4.A.3.b.6.I09	4.A.3.b.6
4.A.3.b.6.I10.D01	Record sales or transactions data.	Record	Sales Transactions Data	4.A.3.b.6.I10	4.A.3.b.6
4.A.3.b.6.I10.D02	Maintain records of sales or other business transactions.	Maintain	Records Sales Business Transactions	4.A.3.b.6.I10	4.A.3.b.6
4.A.3.b.6.I10.D03	Maintain financial or account records.	Maintain	Financial Account Records	4.A.3.b.6.I10	4.A.3.b.6
4.A.3.b.6.I11.D01	Maintain client records.	Maintain	Client Records	4.A.3.b.6.I11	4.A.3.b.6
4.A.3.b.6.I11.D02	Maintain medical facility records.	Maintain	Medical Facility Records	4.A.3.b.6.I11	4.A.3.b.6
4.A.3.b.6.I11.D03	Record vital statistics or other health information.	Record	Vital Statistics Health Information	4.A.3.b.6.I11	4.A.3.b.6
4.A.3.b.6.I11.D04	Record patient medical histories.	Record	Patient Medical Histories	4.A.3.b.6.I11	4.A.3.b.6
4.A.3.b.6.I11.D05	Maintain medical records.	Maintain	Medical Records	4.A.3.b.6.I11	4.A.3.b.6
4.A.3.b.6.I12.D01	Document lesson plans.	Document	Lesson Plans	4.A.3.b.6.I12	4.A.3.b.6
4.A.3.b.6.I12.D02	Organize informational materials.	Organize	Informational Materials	4.A.3.b.6.I12	4.A.3.b.6
4.A.3.b.6.I12.D03	Create technology-based learning materials.	Create	Technology-based Learning Materials	4.A.3.b.6.I12	4.A.3.b.6
4.A.3.b.6.I12.D04	Modify teaching methods or materials to accommodate student needs.	Modify	Teaching Methods Materials Accommodate	4.A.3.b.6.I12	4.A.3.b.6
