dwaCode	title	fileName	action	object	iwaCode	iwaTitle	workActivityCode	workActivityName	taskMappings
4.A.1.a.1.I02.D11	Review blueprints or other instructions to determine operational methods or sequences.	ReviewBlueprintsInstructionsDetermineOperational	Review	Blueprints Instructions Determine Operational	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	37
4.A.1.a.1.I02.D12	Evaluate reports or designs to determine work needs.	EvaluateReportsDesignsDetermineWork	Evaluate	Reports Designs Determine Work	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	3
4.A.1.a.1.I02.D13	Read work orders or descriptions of problems to determine repairs or modifications needed.	ReadWorkOrdersDescriptionsProblems	Read	Work Orders Descriptions Problems	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	12
4.A.1.a.1.I02.D14	Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.	InterpretBlueprintsSpecificationsDiagramsInform	Interpret	Blueprints Specifications Diagrams Inform	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	13
4.A.1.a.1.I02.D15	Review details of technical drawings or specifications.	ReviewDetailsTechnicalDrawingsSpecifications	Review	Details Technical Drawings Specifications	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I02.D16	Read work orders to determine material or setup requirements.	ReadWorkOrdersDetermineMaterial	Read	Work Orders Determine Material	4.A.1.a.1.I02	Read documents or materials to inform work processes	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I03.D01	Collect evidence for legal proceedings.	CollectEvidenceLegalProceedings	Collect	Evidence Legal Proceedings	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	17
4.A.1.a.1.I03.D02	Examine crime scenes to obtain evidence.	ExamineCrimeScenesObtainEvidence	Examine	Crime Scenes Obtain Evidence	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I03.D03	Investigate crimes committed within organizations.	InvestigateCrimesCommittedWithinOrganizations	Investigate	Crimes Committed Within Organizations	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I03.D04	Investigate legal issues.	InvestigateLegalIssues	Investigate	Legal Issues	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	23
4.A.1.a.1.I03.D05	Examine records or other types of data to investigate criminal activities.	ExamineRecordsTypesDataInvestigate	Examine	Records Types Data Investigate	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	19
4.A.1.a.1.I03.D06	Conduct hearings to investigate legal issues.	ConductHearingsInvestigateLegalIssues	Conduct	Hearings Investigate Legal Issues	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I03.D07	Investigate illegal or suspicious activities.	InvestigateIllegalSuspiciousActivities	Investigate	Illegal Suspicious Activities	4.A.1.a.1.I03	Investigate criminal or legal matters	4.A.1.a.1	Getting Information	15
4.A.1.a.1.I04.D01	Obtain property information.	ObtainPropertyInformation	Obtain	Property Information	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I04.D02	Use databases to locate investigation details or other information.	UseDatabasesLocateInvestigationDetails	Use	Databases Locate Investigation Details	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I04.D03	Search information sources to find specific data.	SearchInformationSourcesFindSpecific	Search	Information Sources Find Specific	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I04.D04	Gather financial records.	GatherFinancialRecords	Gather	Financial Records	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I04.D05	Retrieve information from electronic sources.	RetrieveInformationElectronicSources	Retrieve	Information Electronic Sources	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I04.D06	Gather information in order to provide services to clients.	GatherInformationOrderProvideServices	Gather	Information Order Provide Services	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I04.D07	Search files, databases or reference materials to obtain needed information.	SearchFilesDatabasesReferenceMaterials	Search	Files Databases Reference Materials	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	20
4.A.1.a.1.I04.D08	Collect archival data.	CollectArchivalData	Collect	Archival Data	4.A.1.a.1.I04	Gather information from physical or electronic sources	4.A.1.a.1	Getting Information	10
4.A.1.a.1.I05.D01	Evaluate information related to legal matters in public or personal records.	EvaluateInformationRelatedLegalMatters	Evaluate	Information Related Legal Matters	4.A.1.a.1.I05	Consult legal materials or public records	4.A.1.a.1	Getting Information	13
4.A.1.a.1.I05.D02	Research relevant legal materials to aid decision making.	ResearchRelevantLegalMaterialsAid	Research	Relevant Legal Materials Aid	4.A.1.a.1.I05	Consult legal materials or public records	4.A.1.a.1	Getting Information	16
4.A.1.a.1.I06.D01	Gather organizational performance information.	GatherOrganizationalPerformanceInformation	Gather	Organizational Performance Information	4.A.1.a.1.I06	Gather data about operational or development activities	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I06.D02	Gather information about work conditions or locations.	GatherInformationAboutWorkConditions	Gather	Information About Work Conditions	4.A.1.a.1.I06	Gather data about operational or development activities	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I06.D03	Gather physical survey data.	GatherPhysicalSurveyData	Gather	Physical Survey Data	4.A.1.a.1.I06	Gather data about operational or development activities	4.A.1.a.1	Getting Information	10
4.A.1.a.1.I06.D04	Collect data about project sites.	CollectDataAboutProjectSites	Collect	Data About Project Sites	4.A.1.a.1.I06	Gather data about operational or development activities	4.A.1.a.1	Getting Information	10
4.A.1.a.1.I07.D01	Obtain information about goods or services.	ObtainInformationAboutGoodsServices	Obtain	Information About Goods Services	4.A.1.a.1.I07	Obtain information about goods or services	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I08.D01	Research hydrologic features or processes.	ResearchHydrologicFeaturesProcesses	Research	Hydrologic Features Processes	4.A.1.a.1.I08	Research issues related to earth sciences	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I08.D02	Research geological features or processes.	ResearchGeologicalFeaturesProcesses	Research	Geological Features Processes	4.A.1.a.1.I08	Research issues related to earth sciences	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I08.D03	Conduct climatological research.	ConductClimatologicalResearch	Conduct	Climatological Research	4.A.1.a.1.I08	Research issues related to earth sciences	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I09.D01	Conduct surveys in organizations.	ConductSurveysOrganizations	Conduct	Surveys Organizations	4.A.1.a.1.I09	Research organizational behavior, processes, or performance	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I09.D02	Research industrial processes or operations.	ResearchIndustrialProcessesOperations	Research	Industrial Processes Operations	4.A.1.a.1.I09	Research organizational behavior, processes, or performance	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I09.D03	Conduct scientific research of organizational behavior or processes.	ConductScientificResearchOrganizationalBehavior	Conduct	Scientific Research Organizational Behavior	4.A.1.a.1.I09	Research organizational behavior, processes, or performance	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I10.D01	Research impacts of environmental conservation initiatives.	ResearchImpactsEnvironmentalConservationInitiative	Research	Impacts Environmental Conservation Initiatives	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	11
4.A.1.a.1.I10.D02	Research issues related to the environment or sustainable business practices.	ResearchIssuesRelatedEnvironmentSustainable	Research	Issues Related Environment Sustainable	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I10.D03	Investigate the environmental impact of projects.	InvestigateEnvironmentalImpactProjects	Investigate	Environmental Impact Projects	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	19
4.A.1.a.1.I10.D04	Monitor environmental impacts of production or development activities.	MonitorEnvironmentalImpactsProductionDevelopment	Monitor	Environmental Impacts Production Development	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I10.D05	Research environmental impact of industrial or development activities.	ResearchEnvironmentalImpactIndustrialDevelopment	Research	Environmental Impact Industrial Development	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	22
4.A.1.a.1.I10.D06	Identify environmental concerns.	IdentifyEnvironmentalConcerns	Identify	Environmental Concerns	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I10.D07	Evaluate environmental impact of operational or development activities.	EvaluateEnvironmentalImpactOperationalDevelopment	Evaluate	Environmental Impact Operational Development	4.A.1.a.1.I10	Investigate the environmental impact of industrial or development activities	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I11.D01	Gather information for news stories.	GatherInformationNewsStories	Gather	Information News Stories	4.A.1.a.1.I11	Gather information for news stories	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I12.D01	Gather medical information from patient histories.	GatherMedicalInformationPatientHistories	Gather	Medical Information Patient Histories	4.A.1.a.1.I12	Collect information about patients or clients	4.A.1.a.1	Getting Information	15
4.A.1.a.1.I12.D02	Collect medical information from patients, family members, or other medical professionals.	CollectMedicalInformationPatientsFamily	Collect	Medical Information Patients Family	4.A.1.a.1.I12	Collect information about patients or clients	4.A.1.a.1	Getting Information	38
4.A.1.a.1.I12.D03	Collect information from people through observation, interviews, or surveys.	CollectInformationPeopleThroughObservation	Collect	Information People Through Observation	4.A.1.a.1.I12	Collect information about patients or clients	4.A.1.a.1	Getting Information	23
4.A.1.a.1.I12.D04	Collect information about clients.	CollectInformationAboutClients	Collect	Information About Clients	4.A.1.a.1.I12	Collect information about patients or clients	4.A.1.a.1	Getting Information	11
4.A.1.a.1.I13.D01	Research livestock management methods.	ResearchLivestockManagementMethods	Research	Livestock Management Methods	4.A.1.a.1.I13	Research agricultural processes or practices	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I13.D02	Research crop management methods.	ResearchCropManagementMethods	Research	Crop Management Methods	4.A.1.a.1.I13	Research agricultural processes or practices	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I13.D03	Research sustainable agricultural processes or practices.	ResearchSustainableAgriculturalProcessesPractices	Research	Sustainable Agricultural Processes Practices	4.A.1.a.1.I13	Research agricultural processes or practices	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I14.D01	Conduct market research.	ConductMarketResearch	Conduct	Market Research	4.A.1.a.1.I14	Collect data about consumer needs or opinions	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I14.D02	Gather customer or product information to determine customer needs.	GatherCustomerProductInformationDetermine	Gather	Customer Product Information Determine	4.A.1.a.1.I14	Collect data about consumer needs or opinions	4.A.1.a.1	Getting Information	19
4.A.1.a.1.I14.D03	Obtain personal or financial information about customers or applicants.	ObtainPersonalFinancialInformationAbout	Obtain	Personal Financial Information About	4.A.1.a.1.I14	Collect data about consumer needs or opinions	4.A.1.a.1	Getting Information	15
4.A.1.a.1.I14.D04	Conduct opinion surveys or needs assessments.	ConductOpinionSurveysNeedsAssessments	Conduct	Opinion Surveys Needs Assessments	4.A.1.a.1.I14	Collect data about consumer needs or opinions	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I14.D05	Collect data about customer needs.	CollectDataAboutCustomerNeeds	Collect	Data About Customer Needs	4.A.1.a.1.I14	Collect data about consumer needs or opinions	4.A.1.a.1	Getting Information	11
4.A.1.a.1.I15.D01	Observe individuals' activities to gather information or compile evidence.	ObserveIndividuals'ActivitiesGatherInformation	Observe	Individuals' Activities Gather Information	4.A.1.a.1.I15	Investigate individuals' background, behavior, or activities	4.A.1.a.1	Getting Information	11
4.A.1.a.1.I15.D02	Investigate personal characteristics or activities of individuals.	InvestigatePersonalCharacteristicsActivitiesIndivi	Investigate	Personal Characteristics Activities Individuals	4.A.1.a.1.I15	Investigate individuals' background, behavior, or activities	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I16.D01	Research genetic characteristics or expression.	ResearchGeneticCharacteristicsExpression	Research	Genetic Characteristics Expression	4.A.1.a.1.I16	Research biological or ecological phenomena	4.A.1.a.1	Getting Information	12
4.A.1.a.1.I16.D02	Research diseases or parasites.	ResearchDiseasesParasites	Research	Diseases Parasites	4.A.1.a.1.I16	Research biological or ecological phenomena	4.A.1.a.1	Getting Information	13
4.A.1.a.1.I16.D03	Conduct research of processes in natural or industrial ecosystems.	ConductResearchProcessesNaturalIndustrial	Conduct	Research Processes Natural Industrial	4.A.1.a.1.I16	Research biological or ecological phenomena	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I16.D04	Research microbiological or chemical processes or structures.	ResearchMicrobiologicalChemicalProcessesStructures	Research	Microbiological Chemical Processes Structures	4.A.1.a.1.I16	Research biological or ecological phenomena	4.A.1.a.1	Getting Information	12
4.A.1.a.1.I16.D05	Classify organisms based on their characteristics or behavior.	ClassifyOrganismsBasedTheirCharacteristics	Classify	Organisms Based Their Characteristics	4.A.1.a.1.I16	Research biological or ecological phenomena	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I16.D06	Examine characteristics or behavior of living organisms.	ExamineCharacteristicsBehaviorLivingOrganisms	Examine	Characteristics Behavior Living Organisms	4.A.1.a.1.I16	Research biological or ecological phenomena	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I17.D01	Obtain documentation to authorize activities.	ObtainDocumentationAuthorizeActivities	Obtain	Documentation Authorize Activities	4.A.1.a.1.I17	Obtain formal documentation or authorization	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I17.D02	Obtain copyrights or other legal permissions.	ObtainCopyrightsLegalPermissions	Obtain	Copyrights Legal Permissions	4.A.1.a.1.I17	Obtain formal documentation or authorization	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I17.D03	Obtain written authorization to perform activities.	ObtainWrittenAuthorizationPerformActivities	Obtain	Written Authorization Perform Activities	4.A.1.a.1.I17	Obtain formal documentation or authorization	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I18.D01	Conduct anthropological or archaeological research.	ConductAnthropologicalArchaeologicalResearch	Conduct	Anthropological Archaeological Research	4.A.1.a.1.I18	Research historical or social issues	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I18.D02	Conduct historical research.	ConductHistoricalResearch	Conduct	Historical Research	4.A.1.a.1.I18	Research historical or social issues	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I18.D03	Conduct research on social issues.	ConductResearchSocialIssues	Conduct	Research Social Issues	4.A.1.a.1.I18	Research historical or social issues	4.A.1.a.1	Getting Information	13
4.A.1.a.1.I19.D01	Conduct research to increase knowledge about medical issues.	ConductResearchIncreaseKnowledgeAbout	Conduct	Research Increase Knowledge About	4.A.1.a.1.I19	Research healthcare issues	4.A.1.a.1	Getting Information	42
4.A.1.a.1.I19.D02	Collect information about community health needs.	CollectInformationAboutCommunityHealth	Collect	Information About Community Health	4.A.1.a.1.I19	Research healthcare issues	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I20.D01	Research engineering aspects of biological or chemical processes.	ResearchEngineeringAspectsBiologicalChemical	Research	Engineering Aspects Biological Chemical	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	10
4.A.1.a.1.I20.D02	Research engineering applications of emerging technologies.	ResearchEngineeringApplicationsEmergingTechnologie	Research	Engineering Applications Emerging Technologies	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I20.D03	Research design or application of green technologies.	ResearchDesignApplicationGreenTechnologies	Research	Design Application Green Technologies	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I20.D04	Conduct research to gain information about products or processes.	ConductResearchGainInformationAbout	Conduct	Research Gain Information About	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	20
4.A.1.a.1.I20.D05	Research advanced engineering designs or applications.	ResearchAdvancedEngineeringDesignsApplications	Research	Advanced Engineering Designs Applications	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	10
4.A.1.a.1.I20.D06	Research energy production, use, or conservation.	ResearchEnergyProductionUseConservation	Research	Energy Production Use Conservation	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I20.D07	Research human performance or health factors related to engineering or design activities.	ResearchHumanPerformanceHealthFactors	Research	Human Performance Health Factors	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	9
4.A.1.a.1.I20.D08	Research new technologies.	ResearchNewTechnologies	Research	New Technologies	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I20.D09	Research product safety.	ResearchProductSafety	Research	Product Safety	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	3
4.A.1.a.1.I20.D10	Research methods to improve food products.	ResearchMethodsImproveFoodProducts	Research	Methods Improve Food Products	4.A.1.a.1.I20	Research technology designs or applications	4.A.1.a.1	Getting Information	6
4.A.1.a.1.I21.D01	Investigate accidents to determine causes.	InvestigateAccidentsDetermineCauses	Investigate	Accidents Determine Causes	4.A.1.a.1.I21	Investigate incidents or accidents	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I21.D02	Examine debris to obtain information about causes of fires.	ExamineDebrisObtainInformationAbout	Examine	Debris Obtain Information About	4.A.1.a.1.I21	Investigate incidents or accidents	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I21.D03	Investigate transportation incidents, violations, or complaints.	InvestigateTransportationIncidentsViolationsCompla	Investigate	Transportation Incidents Violations Complaints	4.A.1.a.1.I21	Investigate incidents or accidents	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I21.D04	Investigate industrial or transportation accidents.	InvestigateIndustrialTransportationAccidents	Investigate	Industrial Transportation Accidents	4.A.1.a.1.I21	Investigate incidents or accidents	4.A.1.a.1	Getting Information	3
4.A.1.a.1.I22.D01	Investigate system, equipment, or product failures.	InvestigateSystemEquipmentProductFailures	Investigate	System Equipment Product Failures	4.A.1.a.1.I22	Investigate organizational or operational problems	4.A.1.a.1	Getting Information	7
4.A.1.a.1.I22.D02	Investigate work related complaints to determine corrective actions.	InvestigateWorkRelatedComplaintsDetermine	Investigate	Work Related Complaints Determine	4.A.1.a.1.I22	Investigate organizational or operational problems	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I22.D03	Investigate safety of work environment.	InvestigateSafetyWorkEnvironment	Investigate	Safety Work Environment	4.A.1.a.1.I22	Investigate organizational or operational problems	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I23.D01	Interview employees, customers, or others to collect information.	InterviewEmployeesCustomersOthersCollect	Interview	Employees Customers Others Collect	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	31
4.A.1.a.1.I23.D02	Interview others for news or entertainment purposes.	InterviewOthersNewsEntertainmentPurposes	Interview	Others News Entertainment Purposes	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	3
4.A.1.a.1.I23.D03	Interview clients to gather financial information.	InterviewClientsGatherFinancialInformation	Interview	Clients Gather Financial Information	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I23.D04	Interview people to obtain information about actions or status of individuals.	InterviewPeopleObtainInformationAbout	Interview	People Obtain Information About	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I23.D05	Interview people to gather information about criminal activities.	InterviewPeopleGatherInformationAbout	Interview	People Gather Information About	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	8
4.A.1.a.1.I23.D06	Interview patients to gather medical information.	InterviewPatientsGatherMedicalInformation	Interview	Patients Gather Medical Information	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	5
4.A.1.a.1.I23.D07	Interview claimants to get information related to legal proceedings.	InterviewClaimantsGetInformationRelated	Interview	Claimants Get Information Related	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	4
4.A.1.a.1.I23.D08	Interview clients to gather information about their backgrounds, needs, or progress.	InterviewClientsGatherInformationAbout	Interview	Clients Gather Information About	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	11
4.A.1.a.1.I23.D09	Interview witnesses, suspects, or claimants.	InterviewWitnessesSuspectsClaimants	Interview	Witnesses Suspects Claimants	4.A.1.a.1.I23	Interview people to obtain information	4.A.1.a.1	Getting Information	9
4.A.1.a.2.I01.D01	Monitor broadcasting operations to ensure proper functioning.	MonitorBroadcastingOperationsEnsureProper	Monitor	Broadcasting Operations Ensure Proper	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	5
4.A.1.a.2.I01.D02	Monitor medical equipment to ensure proper functioning.	MonitorMedicalEquipmentEnsureProper	Monitor	Medical Equipment Ensure Proper	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	6
4.A.1.a.2.I01.D03	Monitor engine operation or functioning.	MonitorEngineOperationFunctioning	Monitor	Engine Operation Functioning	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	6
4.A.1.a.2.I01.D04	Monitor lubrication of equipment or workpieces.	MonitorLubricationEquipmentWorkpieces	Monitor	Lubrication Equipment Workpieces	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3
4.A.1.a.2.I01.D05	Monitor equipment operation to ensure proper functioning.	MonitorEquipmentOperationEnsureProper	Monitor	Equipment Operation Ensure Proper	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	40
4.A.1.a.2.I01.D06	Observe equipment in operation to detect potential problems.	ObserveEquipmentOperationDetectPotential	Observe	Equipment Operation Detect Potential	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	11
4.A.1.a.2.I01.D07	Watch operating equipment to detect malfunctions.	WatchOperatingEquipmentDetectMalfunctions	Watch	Operating Equipment Detect Malfunctions	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	27
4.A.1.a.2.I01.D08	Monitor green energy equipment, systems, or facilities.	MonitorGreenEnergyEquipmentSystems	Monitor	Green Energy Equipment Systems	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	5
4.A.1.a.2.I01.D09	Assess equipment functioning.	AssessEquipmentFunctioning	Assess	Equipment Functioning	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	4
4.A.1.a.2.I01.D10	Monitor equipment operation to ensure that products are not flawed.	MonitorEquipmentOperationEnsureProducts	Monitor	Equipment Operation Ensure Products	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	13
4.A.1.a.2.I01.D11	Monitor instruments to ensure proper production conditions.	MonitorInstrumentsEnsureProperProduction	Monitor	Instruments Ensure Proper Production	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	13
4.A.1.a.2.I01.D12	Monitor video displays of medical equipment to ensure proper functioning.	MonitorVideoDisplaysMedicalEquipment	Monitor	Video Displays Medical Equipment	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3
4.A.1.a.2.I01.D13	Monitor equipment gauges or displays to ensure proper operation.	MonitorEquipmentGaugesDisplaysEnsure	Monitor	Equipment Gauges Displays Ensure	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	12
4.A.1.a.2.I01.D14	Monitor equipment fluid levels.	MonitorEquipmentFluidLevels	Monitor	Equipment Fluid Levels	4.A.1.a.2.I01	Monitor equipment operation	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	4
